"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HTBZQH;"Punto Poke .";5491166731984;"EFS, Francisco N. de Laprida  2371";"Buenos Aires";"Vicente López";Florida;1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Casa;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112273_69de74d3c2c8a.jpg"")";;2026-04-14
81;HT6B8W;"Empa-market 167";5491134283048;"Maipú 95 Frente a la Plaza Los Campeones, B1828 Banfield, Argentina -";"Buenos Aires";"Lomas de Zamora";Banfield;1;SI;SI;NO;;"Saliente si. Sticker no persiana cerrada";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112274_69ee1787216c2.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112274_69ee1787222f2.jpg"")";2026-04-26
81;HTDO8V;"La Siciliana - Lanus";5491122014290;"FRAY JULIAN LAGOS 2845, Lanús, Argentina -";"Buenos Aires";Lanús;Lanús;1;SI;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";"Es una casa";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112275_69e61d5dbd89a.jpg"")";;2026-04-20
81;HT6MCX;"Fan De Pan Vicente Lopez";5491140267064;"794 Julio Argentino Roca -";"Buenos Aires";"Vicente López";"Vicente López";1;NO;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112276_69de82adcda2f.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112276_69de82adceb6a.jpg"")";2026-04-14
81;HT317S;"Fg Cocina";5491140616115;"Av. Pres. Perón 1598, B1706 Haedo, Provincia de Buenos Aires -";"Buenos Aires";Morón;Haedo;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112277_69f0c1fb24fe0.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112277_69f0c1fb255a3.jpg"")";2026-04-28
81;HT67BD;Braciatta;5491178269688;"2 de Mayo 3058 1 B, B1826 Lanús, Argentina -";"Buenos Aires";Lanús;Lanús;1;SI;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";"Es una casa";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112278_69f2511693083.jpg"")";;2026-04-29
81;HT6J2T;"Panzzer Burger";5491122942350;"Juan b justo 642 -";"Buenos Aires";"San Isidro";Beccar;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112279_69f20fe6a9fe6.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112279_69f20fe6aaa88.jpg"")";2026-04-29
81;HT60TD;"Big Pizza Martinez 3";5491164635076;"Av. Sir Alexander Fleming 1524, B1640CSH Martínez, Provincia de Buenos Aires, Argentina -";"Buenos Aires";"San Isidro";Martínez;1;NO;NO;NO;"NO SE ENCONTRABA EL RESPONSABLE";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112280_69f222cc5a4e1.jpg"")";;2026-04-29
81;HP73H5;"Rabieta Lomitas";5491158439754;"Italia 470 -";"Buenos Aires";"Lomas de Zamora";"Lomas de Zamora";1;NO;SI;NO;"DUEÑO NO AUTORIZA A COLOCAR";"No autoriza. Su colocación ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112281_69ee39801f86d.jpg"")";;2026-04-26
81;HT8GF6;"Dume Sandwich De Autor";5491125801478;"Zarate 272 -";"Buenos Aires";Avellaneda;Sarandí;1;SI;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";"Es una casa";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap2/112282_69da8c40833d5.jpg"")";;2026-04-11
