"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HKBDZN;"Grido Helados - 4742 - La Plata";5492213571995;"Avenida 44 1927 -";"Buenos Aires";"La Plata";"San Carlos";1;SI;NO;;;"Se dejo en mano encargada Brenda Gonzáles nos pidió q lo dejemos q lo ponen ellos ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114142_69e956cd1c313.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114142_69e956cd1d203.jpg"")";2026-04-22
81;HKQRRJ;"Grido Helados - 5092 - LA PLATA VI";5492216723756;"C. 43 801 esq 11 -";"Buenos Aires";"La Plata";"La Plata";1;SI;SI;;;"Instalación y conexión ok ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114143_69e959425b1d7.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114143_69e959425b8be.jpg"")";2026-04-22
81;HKL7ZQ;"Grido Helados - 3904 - La Plata V";5491130223454;"Plaza Matheu N° 130 -";"Buenos Aires";"La Plata";"La Plata";1;NO;NO;;"NO LE INTERESA EL PRODUCTO";"Hablamos con Mariano y nos dijo que Grido nos les permite poner cartel";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114144_69f4ecd16d816.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114144_69f4ecd16db83.jpg"")";2026-05-01
81;HWHV0U;"Grido Helados - 5257 - La Plata Xv";5492215088932;"Av. 32 2072 -";"Buenos Aires";"La Plata";"San Carlos";1;SI;SI;;;"Instalación y conexión ok ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114145_69e95710d814e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114145_69e95710d8be5.jpg"")";2026-04-22
81;HW1OVN;"Grido Helados 5389 - Villa Elisa Iii";5492215674122;"C. 14 2500 -";"Buenos Aires";"La Plata";"Villa Elisa";1;NO;NO;;"NO SE PUDO CONTACTAR/ NO SE ENCONTRÓ EL LOCAL";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114146_69f4f63f0d244.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114146_69f4f63f0d71b.jpg"")";2026-05-01
81;HP0A3S;"Grido City Bell";5491166126335;"Cam. Parque Centenario 30 -";"Buenos Aires";"La Plata";"City Bell";1;NO;NO;;"NO LE INTERESA EL PRODUCTO";"Mariela buzo nos dijo q no ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114147_69e95c9aa0ecb.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114147_69e95c9aa17c7.jpg"")";2026-04-22
81;HLI1LD;"Lupita - La Criolla";5492216013650;"calle 7 # 1390 La Plata, buenos aires -";"Buenos Aires";"La Plata";;1;SI;SI;;;"Cambio de plástico desteñido ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114148_69f4e76af24a6.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114148_69f4e76af329b.jpg"")";2026-05-01
81;HLI9LC;"Piú Avanti";5492216382537;"Avenida 44 725 -";"Buenos Aires";"La Plata";;1;SI;SI;;;"Cambio plástico desteñido ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114149_69e95972c85ac.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114149_69e95972c8d56.jpg"")";2026-04-22
81;HZC8XS;"Ariel Helados";5493489215835;"Av. Tte. Gral. Juan Domingo Perón 91 -";"Buenos Aires";Campana;;1;SI;SI;;;"Cambio de plástico desteñido ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114150_69ef5da067c2e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114150_69ef5da068941.jpg"")";2026-04-27
81;HKQLXA;"Pasillo Pizzerias Cantilo";5492213143777;"Calle 473 entre 15a y 17 -";"Buenos Aires";"La Plata";;1;NO;NO;;"CAMBIO DE FORMA /DUEÑO / ES OTRO LOCAL";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114151_69f4ec3cb1ec0.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks4/114151_69f4ec3cb22cf.jpg"")";2026-05-01
