"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HTL7LZ;"Hamburgo - Guaymallen";5492615918229;"Remedios de Escalada 3458  Guaymall?n, Mendoza -";Mendoza;Guaymallén;Dorrego;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113590_69ed68af8fc38.jpg"")";;2026-04-25
81;HTKL9M;"Manza Focachia";5492617594511;"Leguizam?n 50, M5504 Mendoza, Argentina -";Mendoza;"Godoy Cruz";"Ciudad de Godoy Cruz";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113591_69e3ca3bbdb3a.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113591_69e3ca3bbe41d.jpg"")";2026-04-18
81;HTLVNH;Kangaroo;5492612126481;"Jorge A. Calle 02, M5500 Mendoza, Argentina -";Mendoza;Mendoza;"6ta Sección Residencial Norte";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113592_69efe27ce6b48.jpg"")";;2026-04-27
81;HTL0DZ;"El Mástil Viandas Caseras";5492617032335;"Castroman 902, M5501 Mendoza, Argentina -";Mendoza;"Godoy Cruz";"Las Tortugas";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113593_69e3c698d2244.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113593_69e3c698d28d3.jpg"")";2026-04-18
81;HTL3QP;"La Parrilla Del Rey";5492612423878;"Lisandro Moyano 519 -";Mendoza;"Las Heras";"El Zapallar";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113594_69e2d94d982dd.jpg"")";;2026-04-17
81;HTK6YP;"La Esquina 88";5492617136180;"Pedro Zanni 2700, M5504 Mendoza, Argentina -";Mendoza;"Godoy Cruz";"Ciudad de Godoy Cruz";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113595_69e3c9bd95f55.jpg"")";;2026-04-18
81;HTHX1N;"Malvoys Supreme Burgers -";5492616581070;"Dr. Lemos 539, M5539 Las Heras, Mendoza -";Mendoza;"Las Heras";"El Challao";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113596_69f00d077ff07.jpg"")";;2026-04-27
81;HTKL3T;"Los Del Fondo";5492613994393;"Palacios César 1300, M5539 Mendoza, Argentina -";Mendoza;"Las Heras";"La Cieneguita";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113597_69f0fae39017b.jpg"")";;2026-04-28
81;HTL2Q8;"Donde Siempre - Mendoza";5492615093777;"Cuyo 889, M5507 Mendoza, Argentina -";Mendoza;"Luján de Cuyo";"Ciudad Luján de Cuyo";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113598_69e4007c2ddc3.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113598_69e4007c2e3a2.jpg"")";2026-04-18
81;HPIJ6L;"The Big Lomos Iii";5492616279742;"467M+2F6 Belgrano, Mendoza -";Mendoza;Guaymallén;"Buena Nueva";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113599_69e412425826c.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113599_69e41242584b5.jpg"")";2026-04-18
81;HT6KQ9;"Ikuyo Sushi - Mendoza";5492615565342;"Bariloche 2898, 5539 Mendoza, Argentina -";Mendoza;"Las Heras";"El Challao";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/mdza/113600_69f00014d6f3f.jpg"")";;2026-04-27
