"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HTZOW1;"Buffet Torino";5491122921968;"Zuviría 4659, C1439 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";"Villa Lugano";1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Casa;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113240_69ed03bfd63a0.jpg"")";;2026-04-25
81;HTK6DO;"La Pizzeteria Av Cordoba";5491132745070;"1541 Av. Córdoba -";"Capital Federal";"Buenos Aires";Recoleta;1;SI;NO;SI;"NO QUIERE O PUEDE PERFORABLE";"No puede perforar ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113241_69ed4ad5878bc.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113241_69ed4ad588309.jpg"")";2026-04-25
81;HTK7Z5;"Mr Tasty - Villa Crespo Ii";5491133174037;"Av. Corrientes 6042, C1414 Cdad Autonoma de Buenos Aires -";"Capital Federal";"Buenos Aires";"Villa Crespo";1;NO;NO;NO;"NO QUIERE O PUEDE PERFORABLE";"Pared de marmol sin vidriera oara sticker";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113242_69ebdc3bb4545.jpg"")";;2026-04-24
81;HT678Y;"Pollos Trak Uriarte";5491162598980;"Uriarte 1901 -";"Capital Federal";"Buenos Aires";Palermo;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113243_69ec1009f2971.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113243_69ec1009f335a.jpg"")";2026-04-24
81;HTKPBP;"Via Giovanni Heladeria";5491136693769;"Malabia 294, C1414 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";"Villa Crespo";1;NO;SI;NO;"NO TIENE ESPACIO PARA COLOCAR";"Tiene backligth viejo en buen estado 
Sin espacio para sticker";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113244_69ebd3a38a252.jpg"")";;2026-04-24
81;HTZW6P;"Facca Focaccería";5493874453444;"Av. Dorrego 1745, C1414 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";Palermo;1;SI;SI;NO;"NO TIENE ESPACIO PARA COLOCAR";"Sin esoacio oara stucker";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113245_69ebe9eb10201.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113245_69ebe9eb10b33.jpg"")";2026-04-24
81;HTZXBJ;"Aki Amai";5491121919987;"Av. Estado de Israel 4292, C1145 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";Almagro;1;NO;NO;NO;CERRADO;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113246_69f15c6408b66.jpg"")";;2026-04-28
81;HTKSXR;"Dulces Detalles Arg";5491158905787;"Pacheco 2701, Depto. 1A, C1431, Ciudad Autónoma de Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";"Villa Urquiza";1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";"Departamento ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113247_69e8d24c163be.jpg"")";;2026-04-22
81;HTDH7L;"Wild Burger 793";5491149792579;"Corrales 2491, C1437 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";"Villa Soldati";1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Casa;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113248_69ed0ec5c74f8.jpg"")";;2026-04-25
81;HTKA40;"Parrilla 1880";54901150445369;"Defensa 1665, C1143 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";Barracas;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113249_69ed2a7ee04cc.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113249_69ed2a7ee07fe.jpg"")";2026-04-25
81;HTZHNA;Flordecookies;5491130987748;"Lavalle 3947, C1190 AAY, Cdad. Autónoma de Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";Almagro;1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Edificio;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113250_69f1628d2f886.jpg"")";;2026-04-28
81;HTZ7QA;"Ttokki Comida Coreana";5491124525252;"Ángel Justiniano Carranza 1505, C1414 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";Palermo;1;SI;SI;NO;"NO LE GUSTA EL DISEÑO";"No le gusto el sticker ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113251_69ebe37c31f15.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113251_69ebe37c329bd.jpg"")";2026-04-24
81;HPTCQ9;"Martina Restaurant Parrilla";5491126556008;"Perú 1302 -";"Capital Federal";"Buenos Aires";"San Telmo";1;NO;SI;SI;;"Saliente bien se cambio sticker mal eatado ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113252_69ed2e3a22c0c.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113252_69ed2e3a23657.jpg"")";2026-04-25
81;HTLCU1;"Kids Club Cafe";5491124844757;"Av. Pueyrredón 672, C1032 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";Balvanera;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113253_69e942190b82f.jpg"")";;2026-04-22
81;HTZKX6;Cachito's;5491132749745;"Av. Corrientes 6092, C1414 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";"Villa Crespo";1;NO;NO;NO;"NO SE ENCONTRABA EL RESPONSABLE";"Sin autorizacion";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113254_69ebdbc927e4f.jpg"")";;2026-04-24
81;HTHE2U;"Sandwich Haus";5491170590836;"Colombres 1333, C1238 Buenos Aires, Argentina 1333";"Capital Federal";"Buenos Aires";Boedo;1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Edificio;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113255_69efaa8509865.jpg"")";;2026-04-27
81;HTK2NU;"Tufic Helados - Nuñez";5491137805827;"3600 Arribeños -";"Capital Federal";"Buenos Aires";Núñez;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113256_69e93357616c2.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113256_69e9335762280.jpg"")";2026-04-22
81;HTZZ7U;"Lo De Nuno Rotiseria .";5491168450836;"Avelino Díaz 2045, C1406 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";"Parque Chacabuco";1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Casa;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113257_69f2aaf77502a.jpg"")";;2026-04-29
81;HTK1S4;"Restaurante Donde Samy";5491170732520;"Av avellaneda 1756 departamento 7d código postal 1406 CABA caballito. -";"Capital Federal";"Buenos Aires";Caballito;1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Edificio;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113258_69efb6ad73db0.jpg"")";;2026-04-27
81;HTZ6YE;"Olivia Empanadas &amp; Pizzas -villa Luro";5491153746058;"Comuna 10, Av. Olivera 109, C1407INB Cdad. Autónoma de Buenos Aires -";"Capital Federal";"Buenos Aires";"Vélez Sársfield";1;SI;SI;SI;;"Saliente colocado coloque sticker faltante ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113259_69eba4d11b326.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113259_69eba4d11be46.jpg"")";2026-04-24
81;HTHOJJ;"Almacen Gourmet Sl";5491161447955;"Av. Coronel Esteban Bonorino 1066, C1406 Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";Flores;1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Casa;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cpf1/113260_69f201ea9e429.jpg"")";;2026-04-29
81;HTHK4X;"El Campeon Del Litoral Caballito";5491124702504;"Av.Honorio Pueyrredon 1029 -";"Capital Federal";"Buenos Aires";Caballito;1;SI;SI;NO;"NO TIENE ESPACIO PARA COLOCAR";"Sim espacio en vidrera";;;2026-04-23
