"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HA68SN;"Sushi Pop Barrio Norte";5491134861834;"Marcelo Torcuato de Alvear 1944 -";"Capital Federal";"Buenos Aires";Recoleta;1;SI;NO;;;"Se dejó en mano a andres Aponte lo quiere colocar el ,tiene pared de marmol";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114025_69f2223ee8e0b.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114025_69f2223ee988a.jpg"")";2026-04-29
81;HAHN7J;"Tomasso - Emilio Castro";5491126765188;"Av. Emilio Castro 7204 -";"Capital Federal";"Buenos Aires";Mataderos;1;SI;SI;;;"Instalación y conexión ok ";;;2026-05-01
81;HAEYEH;"Grido Naon";5491159257331;"Av. Emilio Castro 7058 -";"Capital Federal";"Buenos Aires";Mataderos;1;SI;SI;;;"Instalación y conexión ok ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114027_69e3f58dac121.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114027_69e3f58dacdb2.jpg"")";2026-04-18
81;HAAAML;"Sushi Pop Acoyte";5491134861834;"Av. Acoyte 176 -";"Capital Federal";"Buenos Aires";Caballito;1;SI;SI;;;"Instalación y conexión ok";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114028_69f0f7373a40d.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114028_69f0f7373a75a.jpg"")";2026-04-28
81;HAR37I;"Grido Helados 5224 Las Cañitas";5491156029853;"Tte. Benjamín Matienzo 1750 -";"Capital Federal";"Buenos Aires";"Las Cañitas";1;SI;SI;;;"Instalación y conexión ok ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114029_69e7f42439c6b.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114029_69e7f4243a7f8.jpg"")";2026-04-21
81;4CNRH4;"Grido Helados - 3875 - Boedo";5491151149510;"AV. SAN JUAN 3586 -";"Capital Federal";"Buenos Aires";Boedo;1;SI;SI;;;"Instalación y conexión ok";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114030_69f286d5cddc3.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114030_69f286d5ce888.jpg"")";2026-04-29
81;HA5RHM;"Tomasso - Avenida Corrientes 2";5491126765188;"Av. Corrientes 427 -";"Capital Federal";"Buenos Aires";Microcentro;1;SI;SI;;;"Instalación y conexión ok";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114031_69f25ea05d6e9.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114031_69f25ea05e40e.jpg"")";2026-04-29
81;4C5ESF;"Grido Helados - 4985 - Paternal 148";5491173612729;"Av. Alvarez Jonte 1984, P.B. -";"Capital Federal";"Buenos Aires";"Villa General Mitre";1;NO;NO;;"NO SE ENCONTRABA EL RESPONSABLE";"Hablamos con Daniel y no pudo comunicarse con el encargado ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114032_69f0ee12790c5.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114032_69f0ee12794e8.jpg"")";2026-04-28
81;HAV39I;"Grido Helados 5449 - Villa Del Parque";5491160482324;"Marcos Sastre 3315 -";"Capital Federal";"Buenos Aires";"Villa del Parque";1;SI;NO;;;"Se dejó en mano al encargado Lautaro días me dijo que lo quieren colocar ellos";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114033_69f0d50c8c880.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114033_69f0d50c8ca38.jpg"")";2026-04-28
81;HA1BIO;"Tomasso - San Pedrito";5491126765188;"32 Av. San Pedrito -";"Capital Federal";"Buenos Aires";Flores;1;SI;SI;;;"Instalación y conexión ok";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114034_69f0bd66ba24e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps12/114034_69f0bd66bb17e.jpg"")";2026-04-28
