"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;4OV40H;"La Esquina Del Caserito 13 Y 48";5492215584608;"Av. 13 N°810 esquina 48 -";"Buenos Aires";"La Plata";"La Plata";0;;;;;;;;2026-04-14
81;4FG4QY;"The   Wrapée";5491137619625;"Bonpland 1955 -";"Capital Federal";"Buenos Aires";Palermo;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/smbba/114466_69dfd872881f4.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/smbba/114466_69dfd87289b63.jpg"")";2026-04-15
81;HWEMQ7;"Brie - Elcano";5491130073184;"Elcano 2709 -";"Capital Federal";"Buenos Aires";Belgrano;1;NO;SI;SI;"NO TIENE ESPACIO PARA COLOCAR";"Ya le entregaron 3 anteriormente, devolvieron 1. 
Están asignadas 4 no tienen lugar. ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/smbba/114467_69dfe3ebb7bbe.jpg"")";;2026-04-15
81;4C0QJQ;"Ugi´s -  Belgrano";5491133781812;"Av. Mendoza 2386 -";"Capital Federal";"Buenos Aires";Belgrano;1;NO;SI;SI;"NO TIENE ESPACIO PARA COLOCAR";"Ya tenían y no hay más lugar ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/smbba/114468_69ecd35dc3972.jpg"")";;2026-04-25
81;4COH1K;"El Mortero - Panadería Y Confitería 194";5492215583595;"64 ENTRE 1 Y 2 322  LA PLATA SUDESTE CALLE 50 AMBAS VEREDAS -";"Buenos Aires";"La Plata";"La Plata";0;;;;;;;;2026-04-14
81;HRGDOL;"Olivia Empanadas &amp; Pizzas - Belgrano";5491155777510;"José Hernández 2796, C1426EOX Cdad. Autónoma de Buenos Aires, Argentina -";"Capital Federal";"Buenos Aires";Belgrano;1;SI;SI;NO;;"No se pudieron armar x la lluvia";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/smbba/114470_69dfe26dbcf8c.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/smbba/114470_69dfe26dbdb23.jpg"")";2026-04-15
81;HP25Q2;"Brie - Palermo Hollywood";5491130073184;"5519 Costa Rica -";"Capital Federal";"Buenos Aires";Palermo;1;SI;NO;NO;;"No se armaron x la lluvia ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/smbba/114471_69dfdb9d08671.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/smbba/114471_69dfdb9d09fd9.jpg"")";2026-04-15
