"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HTL01T;"Dulce Arte Casero- Rafaela";5493492319670;"Almafuerte 159, S2300 Rafaela -";"Santa Fe";Rafaela;Rafaela;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113687_69f3516d21c34.jpg"")";;2026-04-30
81;HTHYAU;"Leyendecker Panaderia Franquicia Av Luis Fanti";5493492651360;"av luis fanti 1688 -";"Santa Fe";Rafaela;Rafaela;1;SI;NO;SI;"NO QUIERE O PUEDE PERFORABLE";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113688_69f352352df7d.jpg"")";;2026-04-30
81;HTHA8X;"Amano Cafe";5493492519718;"820 Bv. Sta. Fe -";"Santa Fe";Rafaela;Rafaela;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113689_69f3507573171.jpg"")";;2026-04-30
81;HA5PEC;"Leyendecker Chacabuco";5493492519718;"chacabuco 207 -";"Santa Fe";Rafaela;Rafaela;1;SI;NO;SI;"NO QUIERE O PUEDE PERFORABLE";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113690_69f352030bfdb.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113690_69f352030c4c7.jpg"")";2026-04-30
81;HTHFQL;Palatino;5493492611580;"Remedios de Escalada 362 362 B. Portón negro de garaje. NO quiniela, S2300 Rafaela, Argentina -";"Santa Fe";Rafaela;Rafaela;1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113691_69f352afc2d23.jpg"")";;2026-04-30
81;HTZP9D;"La Dolce - Cafetería Y Pastelería Artesanal";5493417553545;"Sarmiento 938 Frente vidriado y ploteado, S2000 Rosario, Argentina -";"Santa Fe";Rosario;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113692_69f2a664b514c.jpg"")";;2026-04-29
81;HP5BFA;"El Secreto 488";5493416510635;"Alvear 134, S2000 Rosario, Argentina -";"Santa Fe";Rosario;"Alberto Olmedo";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113693_69f2a7774f33d.jpg"")";;2026-04-29
81;HT4BTK;"Pizzeria El Tridente";5493413439044;"José María Rosa 2700";"Santa Fe";Rosario;"Mercedes de San Martín";1;NO;NO;NO;"CERRADO DEFINITIVO";"Local NO existe.";;;2026-04-29
81;HTZ1UK;"Bacara Rosario";5493412687808;"1 de Mayo 1959, S2000 Rosario, Argentina -";"Santa Fe";Rosario;"República de la Sexta";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113695_69f2a5ef8f132.jpg"")";;2026-04-29
81;HTZKUF;"Keyla Foodtruck";5493492666222;"Bv. Sta. Fe 2680, S2300 Rafaela, Argentina -";"Santa Fe";Rafaela;Rafaela;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/stf/113696_69f351bf3cfb8.jpg"")";;2026-04-30
