"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HTWQU3;"La Gringa Empanadas 539";393391231703;"Santiago del Estero 242 -";Salta;Salta;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113663_69ef4c82a56b6.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113663_69ef4c82a69ba.jpg"")";2026-04-27
81;HTZQ6X;"Dr. Chips 151";5493874496212;"Caseros 1400, A4400 Salta, Argentina -";Salta;Salta;"Calixto Gauna";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113664_69ef500531f9d.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113664_69ef50053335d.jpg"")";2026-04-27
81;HP71EG;Torrontes;5493875891772;"Caseros 68,a -";Salta;Salta;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113665_69ef4fb6ca450.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113665_69ef4fb6cb651.jpg"")";2026-04-27
81;HT6V82;Topanchos;5493875824044;"Santiago del Estero 166, A4400 Salta, Argentina -";Salta;Salta;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113666_69ef4ddb1fc0e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113666_69ef4ddb20925.jpg"")";2026-04-27
81;HTLCGE;"La Avenida .";5493875682688;"Av. Entre Ríos 934 Puerta y portón blanco (golpear puerta), A4400 Salta, Argentina -";Salta;Salta;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113667_69f08d4d04a0f.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113667_69f08d4d06059.jpg"")";2026-04-28
81;HTZJ2R;"Pizzeria Baumar.";5493875413753;"Astigueta 712, 4400 Salta, Argentina -";Salta;Salta;"San Antonio";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113668_69f08e674ef0f.jpg"")";;2026-04-28
81;HTZJMX;"El Garage Pizzas";5493872286268;"Las Araucarias 71, A4408 Salta, Argentina -";Salta;Salta;Ferroviario;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113669_69eff4d50f4f0.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113669_69eff4d511166.jpg"")";2026-04-27
81;HTKQXF;"Il Forno Di Hugo - Leguizamon";5493875970090;"Leguizamón 581 -";Salta;Salta;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113670_69f08cf54ae6d.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113670_69f08cf54ba13.jpg"")";2026-04-28
81;HTLTZU;"Goxo Bakes";5493873306862;"Los Arces  188";Salta;Salta;"Tres Cerritos";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113671_69ef4078be41f.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113671_69ef4078bf18b.jpg"")";2026-04-27
81;HTKSAJ;"Mushi 450";5493873555885;"Av. Ricardo Reimundin 27, A4408 Salta, Argentina -";Salta;Salta;"Leopoldo Lugones";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113672_69ef4ce840d47.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113672_69ef4ce841b6c.jpg"")";2026-04-27
81;HTH2HE;"Nook Cha";5491161477710;"Pueyrredón 1003, A4400 Salta, Argentina -";Salta;Salta;Belgrano;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113673_69f08dceddfca.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113673_69f08dcedf4a9.jpg"")";2026-04-28
81;HTZAPX;"El Gustazo .";5493875226415;"Pedernera 350, A4400 Salta, Argentina -";Salta;Salta;"San Cayetano";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113674_69ef44a5e06c2.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113674_69ef44a5e288e.jpg"")";2026-04-27
81;HRPFPS;"La Amanecida";549387663658;"Balcarce 817 -";Salta;Salta;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113675_69effb333344d.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113675_69effb3334aac.jpg"")";2026-04-27
81;HTK6J8;"Zeppelin Bar";5493875458204;"25 de Mayo 340, A4400 Salta, Argentina -";Salta;Salta;Centro;1;NO;NO;NO;"NO SE ENCONTRABA EL RESPONSABLE";;;;2026-04-27
81;HTKWJB;"Q Chingada";5493875639924;"Radio Belgrano 2895, Salta, Argentina -";Salta;Salta;Intersindical;1;NO;NO;NO;"NO SE PUDO CONTACTAR/ NO SE ENCONTRÓ EL LOCAL";;;;2026-04-27
81;HTLS2T;"Beirut - Comida Arabe";5493875911949;"Ohiggins 1165, A4400 Salta, Argentina -";Salta;Salta;"20 de Febrero";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113678_69ef3c620260d.jpg"")";;2026-04-27
81;HTK78G;"Lobisteria Cafe &amp; Market";5493874033612;"25 de Mayo 620, A4400 Salta, Argentina -";Salta;Salta;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113679_69eff51dc4bb9.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113679_69eff51dc5fbb.jpg"")";2026-04-27
81;HTLCZK;"La Flaneria.";5493875665649;"Zuviria 1596, A4408 Salta, Argentina -";Salta;Salta;"El Pilar";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113680_69ef3fb1b41a7.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113680_69ef3fb1b50b8.jpg"")";2026-04-27
81;HTKPSB;"Natural Fit 729";5493875500099;"Mendoza 956 Tocar timbre del piso departamento 1, A4400 Salta, Argentina -";Salta;Salta;"Villa Cristina";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113681_69ef4d22f3fee.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113681_69ef4d2300e91.jpg"")";2026-04-27
81;HT8QQ0;"Parada Sur 404";5493872212280;"Diario la Opinion 3733, A4400 Salta, Argentina -";Salta;Salta;"El Tribuno";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113682_69effa825d788.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113682_69effa825e947.jpg"")";2026-04-27
81;HTG726;"Maro Burgers";5493875013386;"Caseros 656 -";Salta;Salta;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113683_69ef4e4bd5e9b.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/sla/113683_69ef4e4bd6c07.jpg"")";2026-04-27
