"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HKR3HX;"Grido Helados - 3123 - Carlos Paz Ii";54354115552293;"9 de Julio &amp; Boulevard Sarmiento -";Córdoba;"Villa Carlos Paz";"Centro Oeste";1;NO;NO;NO;"DISCONFORME CON PEDIDOS YA";"La supervisora esta esperando contestación de reclamos por pedidos cancelados,más allá de eso no se podría colocar cartel porque es todo mármol y vidrio ";;;2026-04-26
81;HKR39C;"Grido Helados - 4356 - Costanera Carlos Paz";5493516830182;"Illia 1245 -";Córdoba;"Villa Carlos Paz";"Los Eucaliptos";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114366_69ed3431a3979.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114366_69ed3431a4399.jpg"")";2026-04-25
81;HK4XIM;"Grido Helados - 3067 - Walmart Ii Talleres";5493513676092;"Mauricio Yadarola 1699 -";Córdoba;Córdoba;"Talleres Oeste";1;NO;NO;NO;"ESTÁ EN SHOPPING / GALERÍA /PATRIMONIO NO PUEDE COLOCAR";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114367_69ee9beaa731a.jpg"")";;2026-04-26
81;HKR37H;"Grido Helados - 4047 - Altolaguirre II";5493516513303;"JACINTO DE ALTOLAGUIRRE 2686 -";Córdoba;Córdoba;"Yofre Norte";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114368_69f225101a611.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114368_69f225101aa69.jpg"")";2026-04-29
81;HKR3KE;"Grido Helados - 3183 - Colón Y Orgaz";5493512368053;"AV. COLON 1920 -";Córdoba;Córdoba;Alberdi;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114369_69f11a65324dd.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114369_69f11a653315a.jpg"")";2026-04-28
81;HKR3N9;"Grido Helados 3626 - Villa San Carlos";5493513919987;"AV. RICHIERI 3918 -";Córdoba;Córdoba;"Villa San Carlos";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114370_69f22f2ed9e8d.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114370_69f22f2eda494.jpg"")";2026-04-29
81;4OVUVF;"Grido Helados - 3201 - Rio Ceballos II";5493517072092;"Av. San Martín 4920 -";Córdoba;"Río Ceballos";"Rio Ceballos";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114371_69ebb3b4a5c06.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114371_69ebb3b4a620d.jpg"")";2026-04-24
81;4OVXEV;"Grido Helados - 3432 - Alta Gracia III";5493547673727;"Avenida del Libertador General San Martín 1250 -";Córdoba;"Alta Gracia";"Alta Gracia";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114372_69ea3ec49d92c.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114372_69ea3ec49e0b5.jpg"")";2026-04-23
81;HKR3SO;"Grido Helados - 3560 - Las Higueras";5493584387849;"ESPAÑA 167 -";Córdoba;"Río Cuarto";"Rio Cuarto";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114373_69eac64a10a66.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114373_69eac64a11553.jpg"")";2026-04-23
81;HKR3L6;"Grido Helados - 3137 - El Ruedo";5493517055981;"27 de abril 102 -";Córdoba;Córdoba;Centro;1;NO;NO;NO;"NO TIENE ESPACIO PARA COLOCAR";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114374_69f2a6e8873e8.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bksr/114374_69f2a6e887b5c.jpg"")";2026-04-29
