"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HTGEME;"Kansas - Milberg";5491162017262;"6550 Av. Agustín M. García -";"Buenos Aires";Tigre;Nordelta;1;NO;NO;NO;"NO VA CON LA ESTÉTICA DEL LOCAL";.;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114141_69f543f9ba8de.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114141_69f543f9baeff.jpg"")";2026-05-01
81;HZE7GS;"Savage Al Paso - Tigre";5491160271290;"Av. Victorica 480 -";"Buenos Aires";Tigre;Tigre;1;SI;SI;;;"Cambio de cártel por modelo nuevo";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114262_69ef9ec074fc1.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114262_69ef9ec0766e3.jpg"")";2026-04-27
81;4OX4O0;"Pompeya Ramos Mejía";5491158334723;"Leandro N. Alem 325 -";"Buenos Aires";"La Matanza";"Ramos Mejía";1;SI;NO;NO;;"Íñiguez José Luis lo quieren colocar ellos";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114263_69e3f6ce5acf6.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114263_69e3f6ce5b763.jpg"")";2026-04-18
81;HKBQHY;"Dolas- Cannig";5491131274905;"Mariano Castex 3285 -";"Buenos Aires";"Esteban Echeverría";Canning;1;SI;NO;NO;;"Lucas arcangioli nos dijo q lo pone mantenimiento ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114264_69e0d369a439e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114264_69e0d369a4cbc.jpg"")";2026-04-16
81;4OVJ39;"Campo Abierto Parrilla";5491159488028;"Av. 12 de Octubre 1876 -";"Buenos Aires";Quilmes;Quilmes;1;NO;NO;;"NO SE ENCONTRABA EL RESPONSABLE";"Hablamos con Juan nose pudo comunicarse con el encargado ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114265_69f3c1fe41e21.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114265_69f3c1fe42de6.jpg"")";2026-04-30
81;HKK3A6;"Riviera Adrogué Centro";5491141799244;"Esteban Adrogué 1114 -";"Buenos Aires";"Almirante Brown";Adrogué;1;SI;SI;;;"Cambió plástico desteñido ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114266_69e154263960e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114266_69e1542639fd4.jpg"")";2026-04-16
81;HKEC1O;"Dime Burger Santa Rosa 910";5491138256459;"Santa Rosa 910 -";"Buenos Aires";Ituzaingó;Ituzaingó;1;NO;NO;;"NO LE INTERESA EL PRODUCTO";"Charly nos dijo q no lo quiere ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114267_69e4c87813154.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114267_69e4c87813618.jpg"")";2026-04-19
81;4O17HR;"Gelay Pastas Frescas Artesanales Punta Chica";5445753070;"Simón de Iriondo 582";"Buenos Aires";"San Fernando";"Punta Chica";1;SI;NO;;;"Ya lo tiene colocado";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114268_69efc25a64395.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114268_69efc25a6530c.jpg"")";2026-04-27
81;HWKTBB;"Le Blé Café - Hudson";;"C. 137 6365 -";"Buenos Aires";Berazategui;Hudson;1;SI;SI;;;"Cambio de cartel por modelo nuevo ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114269_69f4c515b0216.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114269_69f4c515b13d7.jpg"")";2026-05-01
81;4OVMA2;"El Piave Bernal";5491145342940;"9 de Julio 6 -";"Buenos Aires";Quilmes;Bernal;1;SI;SI;;;"Cambio de plástico desteñido ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114270_69f3bc4e64df9.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bcks3/114270_69f3bc4e65f74.jpg"")";2026-04-30
