"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;4FJKCS;"El Rincón del Chipá";5492915080144;"Espora 241 -";"Buenos Aires";"Bahía Blanca";Centro;1;NO;NO;NO;"NO VA CON LA ESTÉTICA DEL LOCAL";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps34/114319_69ed315850af2.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps34/114319_69ed315851915.jpg"")";2026-04-25
81;4OV4YS;"El Mundo de la Parrilla";5492914312116;"av colon 379 -";"Buenos Aires";"Bahía Blanca";Centro;1;NO;NO;NO;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps34/114320_69ed3756932a1.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps34/114320_69ed375693b31.jpg"")";2026-04-25
81;HLI0VZ;"Heladeria Ardenas";542915348269;"Avenida Alem 333 -";"Buenos Aires";"Bahía Blanca";Centro;1;NO;NO;NO;"DUEÑO NO AUTORIZA A COLOCAR";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps34/114321_69ed34a092f32.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps34/114321_69ed34a09393f.jpg"")";2026-04-25
81;HZ9O99;"La Aragonesa";5492916493216;"Viamonte 491 -";"Buenos Aires";"Bahía Blanca";Centro;1;NO;NO;NO;"CERRADO MOMENTÁNEAMENTE / LOCAL EN REFORMAS";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps34/114322_69ed38fb2c271.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/ps34/114322_69ed38fb2cdd9.jpg"")";2026-04-25
