"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HT844B;Ruth;54991123962544;"Marie Curie 1160, B1635GVF Pilar, Provincia de Buenos Aires, Argentina -";"Buenos Aires";Pilar;Pilar;1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Casa;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113055_69f0d62bc9e48.jpg"")";;2026-04-28
81;HP2ITN;"Big Pizza - Ingeniero Maschwitz";5491164059435;"Villanueva 1591 ingeniero Maschwitz -";"Buenos Aires";Escobar;"Ingeniero Maschwitz";1;SI;SI;NO;;"Se colocó saliente. El encargado quiere colocar el sticker. ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113056_69ebc69f6a031.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113056_69ebc69f6aa94.jpg"")";2026-04-24
81;HTECFE;"Lelitas Food";5491165664273;"Almte. Guillermo Brown 1247, B1629 Pilar, Argentina -";"Buenos Aires";Pilar;Pilar;1;SI;SI;NO;;"Se colocó saliente. La encargada quiere colocar el sticker despues de remodelar la vidriera.";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113057_69f0ffb3bd3fb.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113057_69f0ffb3be24d.jpg"")";2026-04-28
81;HTHCHV;"All Spiedo";5491150427139;"Pedro lagrave 358 -";"Buenos Aires";Pilar;Pilar;1;SI;SI;SI;;"Se agregó sticker ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113058_69f0f92dbb5a2.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113058_69f0f92dbc658.jpg"")";2026-04-28
81;HTH5K1;"Once A La Plancha";5492323534453;"San José 1741, B6700 Luján, Argentina -";"Buenos Aires";Luján;Luján;1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Casa;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113059_69ef7d3403de7.jpg"")";;2026-04-27
81;HT60SS;"Marion Tienda De Churros (tortugas Norte)";5491136696273;"Golf Club Necochea 3010, B1664 Manuel Alberti, Argentina -";"Buenos Aires";Pilar;"Manuel Alberti";1;SI;SI;SI;;"Tiene backlight. Se cambió sticker deteriorado.";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113060_69f0a221c901e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113060_69f0a221c9d2b.jpg"")";2026-04-28
81;HTHLOR;Angui;541150994690;"Posadas 1921, B1629 Pilar, Argentina -";"Buenos Aires";Pilar;Pilar;1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Casa;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113061_69f101ba1750b.jpg"")";;2026-04-28
81;HT67MK;"Bien Paridas";5491134016513;"Jockey club 3051, Manuel Alberti, Pilar, Buenos Aires, B1664 -";"Buenos Aires";Pilar;"Manuel Alberti";1;NO;NO;NO;"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)";Casa;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113062_69f0a2e1c1ec5.jpg"")";;2026-04-28
81;HT6PIW;"Baku - Escobar";5491158724953;"Av. Eugenia Tapia de Cruz 843, B1625 Belén de Escobar, Provincia de Buenos Aires, Argentina -";"Buenos Aires";Escobar;"Belén de Escobar";1;SI;SI;SI;;"Se cambió sticker descolorido ";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113063_69eb79ce15692.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113063_69eb79ce16074.jpg"")";2026-04-24
81;HTD8F2;"Humos Waizer";5491160201718;"Las Madreselvas 2149, B1620 Maquinista Savio, Argentina -";"Buenos Aires";Escobar;"Maquinista F Savio";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113064_69ebad2718b63.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cap4/113064_69ebad2719807.jpg"")";2026-04-24
