"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HA7Q24;"Monserrat 212";5492914374506;"Chacabuco 1496, Bahía Blanca, Provincia de Buenos Aires, Argentina -";"Buenos Aires";"Bahía Blanca";"Villa Mitre";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112176_69ecdf47d5014.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112176_69ecdf47d57d1.jpg"")";2026-04-25
81;HKDXEM;"Aldana Todo Caserito";5492914673092;"Calle Salinas Chicas 3744";"Buenos Aires";"Bahía Blanca";"Villa Harding Green";1;NO;NO;NO;"NO SE PUDO CONTACTAR/ NO SE ENCONTRÓ EL LOCAL";;;;2026-04-25
81;HT8QCJ;"Picaditas Boutique";5492954625314;"Alvarado 825 10B entre santiago del estero y salta,
8000 
Bahia blanca -";"Buenos Aires";"Bahía Blanca";Universitario;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112178_69e13e4360817.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112178_69e13e4361035.jpg"")";2026-04-16
81;HT6M7W;"Flor Ayude Pastelería";5492914269975;"C. Pozos 142, B8000 Bahía Blanca, Argentina -";"Buenos Aires";"Bahía Blanca";Rivadavia;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112179_69ecdc9b730ab.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112179_69ecdc9b73875.jpg"")";2026-04-25
81;HAMYA2;"La Boca Focacceria.";5491124524471;"Castelli 1240. Timbre 2 -";"Buenos Aires";"Bahía Blanca";Pacífico;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112180_69e1430dcb5ff.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112180_69e1430dcbd2f.jpg"")";2026-04-16
81;HTE9LY;Mangiare.;5492916464433;"zelarrayan 422 -";"Buenos Aires";"Bahía Blanca";Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112181_69e137dca312e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112181_69e137dca3d84.jpg"")";2026-04-16
81;HAX1UP;"Estacion Ravello- Villa Mitre";5492916495702;"Wassigthon 512 -";"Buenos Aires";"Bahía Blanca";"Villa Mitre";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112182_69ece154b127e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112182_69ece154b1c90.jpg"")";2026-04-25
81;HT3948;"Tienda De Empanadas-bahia Blanca";5492915359490;"12 de Octubre 1028, B8000 Bahía Blanca, Argentina -";"Buenos Aires";"Bahía Blanca";Napostá;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112183_69e1490c8361d.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112183_69e1490c83baf.jpg"")";2026-04-16
81;HTHQ4H;"Cacha Pasteleria - Foodtruck";542914667933;"Av. Cabrera 4550 -";"Buenos Aires";"Bahía Blanca";"Aldea Romana";1;NO;NO;NO;"NO SE PUDO CONTACTAR/ NO SE ENCONTRÓ EL LOCAL";;;;2026-04-25
81;HTGE78;"Bonnie Y Clyde - Panaderia Y Heladeria";5492915011732;"1891 Patricios -";"Buenos Aires";"Bahía Blanca";"La Piedad";1;NO;NO;NO;"NO VA CON LA ESTÉTICA DEL LOCAL";;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112185_69ed013c0855f.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/bhb/112185_69ed013c0966b.jpg"")";2026-04-25
